WARD,ALDERMAN,Ward Address,Ward City,Ward State,Ward Zipcode,WARD PHONE,WEBSITE,City Hall Address,City Hall City,City Hall State,City Hall  Zipcode,City Hall Phone,Email,Image
30,ARIEL E. REBOYRAS,3348 N MILWAUKEE AVE,CHICAGO,IL,60641,773-794-3095,http://www.cityofchicago.org/city/en/about/wards/30.html,121 N. La Salle Room 203,CHICAGO,IL,60602,312.744.3304,ward30@cityofchicago.org,30-ariel-reboyras.jpg
31,RAY SUAREZ,4502 W FULLERTON AVE,CHICAGO,IL,60639,773-486-6488,http://www.cityofchicago.org/city/en/about/wards/31.html,"121 N. La Salle Room 203, Office 19",CHICAGO,IL,60602,312.744.6102 ,rsuarez@cityofchicago.org,31-ray-suarez.jpg
32,SCOTT WAGUESPACK,2657 N CLYBOURN,CHICAGO,IL,60614,773-248-1330,http://www.cityofchicago.org/city/en/about/wards/32.html,121 N. La Salle Room 300,CHICAGO,IL,60602,312.744.6567 ,info@ward32.org,32-scott-waguespack.jpg
33,RICHARD F. MELL,3649 N KEDZIE AVE,CHICAGO,IL,60618,773-478-8040,http://www.cityofchicago.org/city/en/about/wards/33.html,121 N. La Salle Room 208,CHICAGO,IL,60602,312.744.6825,rmell@cityofchicago.org,33-richard-mell.jpg
34,CARRIE M. AUSTIN,507 W 111TH ST,CHICAGO,IL,60628,773-928-6961,http://www.cityofchicago.org/city/en/about/wards/34.html,121 N. La Salle Room 200,CHICAGO,IL,60602,312.744.6820,ward34@cityofchicago.org,34-carrie-austin.jpg
35,REY COLON,2710 N SAWYER AVE,CHICAGO,IL,60647,773-365-3535,http://www.cityofchicago.org/city/en/about/wards/35.html,"121 N. La Salle Room 203, Office 18",CHICAGO,IL,60602,312.744.6835 ,ward35@cityofchicago.org,35-rey-colon.jpg
36,NICHOLAS SPOSATO,6934 W DIVERSEY AVE,CHICAGO,IL,60707,773-836-0036,http://www.cityofchicago.org/city/en/about/wards/36.html,,,,,,,36-nicholas-sposato.jpg
37,EMMA MITTS,5344 W NORTH AVE,CHICAGO,IL,60639,773-745-2894,http://www.cityofchicago.org/city/en/about/wards/37.html,121 N. La Salle Room 300,CHICAGO,IL,60602,312.744.8019,emitts@cityofchicago.org,37-emma-mitts.jpg
38,TIMOTHY M. CULLERTON,5817 W IRVING PARK RD,CHICAGO,IL,60634,773-545-3838,http://www.cityofchicago.org/city/en/about/wards/38.html,"121 N. La Salle Room 203, Office 12",CHICAGO,IL,60602,312.744.6811,ward38@cityofchicago.org,38-timothy-cullerton.jpg
39,MARGARET LAURINO,4404 W LAWRENCE AVE,CHICAGO,IL,60630,773-736-5594,http://www.cityofchicago.org/city/en/about/wards/39.html,121 N. La Salle Room 300,CHICAGO,IL,60602,312.744.7242 ,,39-margaret-laurino.jpg
40,PATRICK J. O'CONNOR,5850 N LINCOLN AVE,CHICAGO,IL,60659,773-769-1140,http://www.cityofchicago.org/city/en/about/wards/40.html,121 N. La Salle Room 305,CHICAGO,IL,60602,312.744.6858 ,ward40@cityofchicago.org,40-patrick-oconnor.jpg
41,MARY O'CONNOR,6107 N NORTHWEST HWY,CHICAGO,IL,60631,773-594-8341,http://www.cityofchicago.org/city/en/about/wards/41.html,,,,,,,41-mary-oconnor.jpg
42,BRENDAN REILLY,325 W HURON ST #510,CHICAGO,IL,60654,312-642-4242,http://www.cityofchicago.org/city/en/about/wards/42.html,,,,,,,42-brendan-reilly.jpg
43,MICHELE SMITH,735 W WRIGHTWOOD AVE,CHICAGO,IL,60614,773-348-9500,http://www.cityofchicago.org/city/en/about/wards/43.html,121 N. La Salle Room 200,CHICAGO,IL,60602,312.744.3062,office@ward42chicago.com,43-michele-smith.jpg
44,THOMAS M. TUNNEY,1057 W BELMONT AVE,CHICAGO,IL,60657,773-525-6034,http://www.cityofchicago.org/city/en/about/wards/44.html,"121 N. La Salle Room 300, Office 46",CHICAGO,IL,60602,312.744.3073 ,ward44@cityofchicago.org,44-thomas-tunney.jpg
45,JOHN ARENA,4754 N MILWAUKEE AVE,CHICAGO,IL,60630,773-286-4545,http://www.cityofchicago.org/city/en/about/wards/45.html,,,,,,,45-john-arena.jpg
46,JAMES CAPPLEMAN,4544 N BROADWAY AVE,CHICAGO,IL,60640,773-878-4646,http://www.cityofchicago.org/city/en/about/wards/46.html,,,,,,,46-james-cappleman.jpg
47,AMEYA PAWAR,4243 N LINCOLN AVE,CHICAGO,IL,60618,773-868-4747,http://www.cityofchicago.org/city/en/about/wards/47.html,121 N. La Salle Room 200,CHICAGO,IL,60602,312.744.0446,info@chicago47.org,47-ameya-pawar.jpg
48,HARRY OSTERMAN,5533 N BROADWAY ST,CHICAGO,IL,60640,773-784-5277,http://www.cityofchicago.org/city/en/about/wards/48.html,,,,,,,48-harry-osterman.jpg
49,JOE MOORE,7356 N GREENVIEW AVE,CHICAGO,IL,60626,773-338-5796,http://www.cityofchicago.org/city/en/about/wards/49.html,"121 N. La Salle Room 300, Office 24",CHICAGO,IL,60602,312.744.3067 ,ward49@cityofchicago.org,49-joe-moore.jpg
50,DEBRA SILVERSTEIN,2949 W DEVON AVE,CHICAGO,IL,60659,773-262-1050,http://www.cityofchicago.org/city/en/about/wards/50.html,,,,,,,50-debra-silverstein.jpg
